team,attendance,Attend/G,Est. Payroll,Season
Philadelphia Phillies,3108325.0,38374.0,89428213.0,2007
Pittsburgh Pirates,1749142.0,21594.0,38537833.0,2007
San Diego Padres,2790074.0,34445.0,58110567.0,2007
San Francisco Giants,3223215.0,39793.0,90219056.0,2007
Seattle Mariners,2672223.0,32588.0,106460833.0,2007
St. Louis Cardinals,3552180.0,43854.0,90286823.0,2007
Tampa Bay Devil Rays,1387603.0,17131.0,24623500.0,2007
Texas Rangers,2353862.0,29060.0,68643675.0,2007
Toronto Blue Jays,2360644.0,29144.0,81942800.0,2007
Washington Nationals,1943812.0,23998.0,36947500.0,2007
Arizona Diamondbacks,2509924.0,30987.0,66202712.0,2008
Atlanta Braves,2532834.0,31270.0,102365683.0,2008
Baltimore Orioles,1950075.0,24376.0,67196246.0,2008
Boston Red Sox,3048250.0,37633.0,133390035.0,2008
Chicago Cubs,3300200.0,40743.0,120345833.0,2008
Chicago White Sox,2500648.0,30496.0,121189332.0,2008
Cincinnati Reds,2058632.0,25415.0,74167695.0,2008
Cleveland Indians,2169760.0,26787.0,78970066.0,2008
Colorado Rockies,2650218.0,32719.0,68655500.0,2008
Detroit Tigers,3202645.0,39539.0,138785196.0,2008
Florida Marlins,1335076.0,16482.0,21811500.0,2008
Houston Astros,2779487.0,34744.0,87946807.0,2008
Kansas City Royals,1578922.0,19493.0,59445500.0,2008
Los Angeles Angels of Anaheim,3336747.0,41194.0,119216333.0,2008
Los Angeles Dodgers,3730553.0,46056.0,118588536.0,2008
Milwaukee Brewers,3068458.0,37882.0,80937499.0,2008
Minnesota Twins,2302431.0,28425.0,56932766.0,2008
New York Mets,4042045.0,49902.0,137793376.0,2008
New York Yankees,4298655.0,53070.0,212286789.0,2008
Oakland Athletics,1665256.0,20559.0,47967126.0,2008
Philadelphia Phillies,3422583.0,42254.0,97879880.0,2008
Pittsburgh Pirates,1609076.0,19865.0,48689783.0,2008
San Diego Padres,2427535.0,29970.0,73677616.0,2008
San Francisco Giants,2863837.0,35356.0,76594500.0,2008
Seattle Mariners,2329702.0,28762.0,117666482.0,2008
St. Louis Cardinals,3432917.0,42382.0,99624449.0,2008
Tampa Bay Rays,1811986.0,22370.0,44970597.0,2008
Texas Rangers,1945677.0,24021.0,68037326.0,2008
Toronto Blue Jays,2399786.0,29627.0,97793900.0,2008
Washington Nationals,2320400.0,29005.0,54961000.0,2008
Arizona Diamondbacks,2128765.0,26281.0,75920666.0,2009
Atlanta Braves,2373631.0,29304.0,99593166.0,2009
Baltimore Orioles,1907163.0,23545.0,69904166.0,2009
Boston Red Sox,3062699.0,37811.0,125439499.0,2009
Chicago Cubs,3168859.0,39611.0,139652000.0,2009
Chicago White Sox,2284163.0,28200.0,101081000.0,2009
Cincinnati Reds,1747919.0,21579.0,78979000.0,2009
Cleveland Indians,1766242.0,21805.0,85224866.0,2009
Colorado Rockies,2665080.0,32902.0,79250200.0,2009
Detroit Tigers,2567165.0,31693.0,119510145.0,2009
Florida Marlins,1464109.0,18075.0,40029000.0,2009
Houston Astros,2521076.0,31124.0,105804414.0,2009
Kansas City Royals,1797891.0,22196.0,76817333.0,2009
Los Angeles Angels of Anaheim,3240386.0,40005.0,118169000.0,2009
Los Angeles Dodgers,3761655.0,46440.0,102117592.0,2009
Milwaukee Brewers,3037451.0,37499.0,81384502.0,2009
Minnesota Twins,2416237.0,29466.0,67804266.0,2009
New York Mets,3168571.0,39118.0,151994237.0,2009
New York Yankees,3719358.0,45918.0,210330039.0,2009
Oakland Athletics,1408783.0,17392.0,65945000.0,2009
Philadelphia Phillies,3600693.0,44453.0,115479046.0,2009
Pittsburgh Pirates,1577853.0,19480.0,51912500.0,2009
San Diego Padres,1919603.0,23699.0,50954200.0,2009
San Francisco Giants,2862110.0,35335.0,91944450.0,2009
Seattle Mariners,2195533.0,27105.0,100134166.0,2009
St. Louis Cardinals,3343252.0,41275.0,90928409.0,2009
Tampa Bay Rays,1874962.0,23148.0,67270334.0,2009
Texas Rangers,2156016.0,26617.0,79723548.0,2009
Toronto Blue Jays,1876129.0,23162.0,83964500.0,2009
Washington Nationals,1817226.0,22435.0,64384000.0,2009
Arizona Diamondbacks,2056697.0,25391.0,61368166.0,2010
Atlanta Braves,2510119.0,30989.0,84423666.0,2010
Baltimore Orioles,1733019.0,21395.0,81612500.0,2010
Boston Red Sox,3046445.0,37610.0,164507333.0,2010
Chicago Cubs,3062973.0,37814.0,147009001.0,2010
Chicago White Sox,2194378.0,27091.0,107195000.0,2010
Cincinnati Reds,2060550.0,25439.0,75321542.0,2010
Cleveland Indians,1391644.0,17181.0,61203966.0,2010
Colorado Rockies,2875245.0,35497.0,90677000.0,2010
Detroit Tigers,2461237.0,30386.0,124039928.0,2010
Florida Marlins,1524894.0,18826.0,57454719.0,2010
Houston Astros,2331490.0,28784.0,93216000.0,2010
Kansas City Royals,1615327.0,19942.0,73105210.0,2010
Los Angeles Angels of Anaheim,3250814.0,40134.0,104963866.0,2010
Los Angeles Dodgers,3562320.0,43979.0,95358016.0,2010
Milwaukee Brewers,2776531.0,34278.0,81108278.0,2010
Minnesota Twins,3223640.0,39798.0,97559166.0,2010
New York Mets,2559738.0,31602.0,134422942.0,2010
New York Yankees,3765807.0,46491.0,210733389.0,2010
Oakland Athletics,1418391.0,17511.0,57904900.0,2010
Philadelphia Phillies,3777322.0,44968.0,141928379.0,2010
Pittsburgh Pirates,1613399.0,19919.0,37443000.0,2010
San Diego Padres,2131774.0,26318.0,37799300.0,2010
San Francisco Giants,3037443.0,37499.0,98641333.0,2010
Seattle Mariners,2085630.0,25749.0,86510000.0,2010
St. Louis Cardinals,3301218.0,40756.0,93540751.0,2010
Tampa Bay Rays,1864999.0,23025.0,71923471.0,2010
Texas Rangers,2505171.0,30928.0,56474374.0,2010
Toronto Blue Jays,1495482.0,19173.0,62734000.0,2010
Washington Nationals,1828066.0,22569.0,67701000.0,2010
Arizona Diamondbacks,2105432.0,25993.0,54823166.0,2011
Atlanta Braves,2372940.0,29296.0,93855132.0,2011
Baltimore Orioles,1755461.0,21672.0,88299038.0,2011
Boston Red Sox,3054001.0,37704.0,166662475.0,2011
Chicago Cubs,3017966.0,37259.0,136547329.0,2011
Chicago White Sox,2001117.0,24705.0,127789000.0,2011
Cincinnati Reds,2213588.0,27328.0,77297134.0,2011
Cleveland Indians,1840835.0,22726.0,49426566.0,2011
Colorado Rockies,2909777.0,35923.0,91648071.0,2011
Detroit Tigers,2642045.0,32618.0,106875231.0,2011
Florida Marlins,1520562.0,18772.0,57694000.0,2011
Houston Astros,2067016.0,25519.0,71110500.0,2011
Kansas City Royals,1724450.0,21290.0,35712000.0,2011
Los Angeles Angels of Anaheim,3166321.0,39090.0,138543166.0,2011
Los Angeles Dodgers,2935139.0,36236.0,103785477.0,2011
Milwaukee Brewers,3071373.0,37918.0,86636333.0,2011
Minnesota Twins,3168116.0,39113.0,112737000.0,2011
New York Mets,2352596.0,29044.0,151897309.0,2011
New York Yankees,3653680.0,45107.0,206275028.0,2011
Oakland Athletics,1476791.0,18232.0,67094000.0,2011
Philadelphia Phillies,3680718.0,45441.0,172976379.0,2011
Pittsburgh Pirates,1940429.0,23956.0,45047000.0,2011
San Diego Padres,2143018.0,26457.0,45869140.0,2011
San Francisco Giants,3387303.0,41819.0,124198333.0,2011
Seattle Mariners,1896321.0,23411.0,86110600.0,2011
St. Louis Cardinals,3093954.0,38197.0,105433572.0,2011
Tampa Bay Rays,1529188.0,18879.0,41053571.0,2011
Texas Rangers,2946949.0,36382.0,93799264.0,2011
Toronto Blue Jays,1818103.0,22446.0,64567800.0,2011
Washington Nationals,1940478.0,24256.0,68492928.0,2011
Arizona Diamondbacks,2177617.0,26884.0,67069833.0,2012
Atlanta Braves,2420171.0,29879.0,86208000.0,2012
Baltimore Orioles,2102240.0,25954.0,77949000.0,2012
Boston Red Sox,3043003.0,37568.0,110386000.0,2012
Chicago Cubs,2882756.0,35590.0,86159366.0,2012
Chicago White Sox,1965955.0,24271.0,118208000.0,2012
Cincinnati Reds,2347251.0,28978.0,80309500.0,2012
Cleveland Indians,1603596.0,19797.0,78911300.0,2012
Colorado Rockies,2630458.0,32475.0,75485000.0,2012
Detroit Tigers,3028033.0,37383.0,131394000.0,2012
Houston Astros,1607733.0,19849.0,37651000.0,2012
Kansas City Royals,1739859.0,21480.0,61747075.0,2012
Los Angeles Angels of Anaheim,3061770.0,37800.0,141073500.0,2012
Los Angeles Dodgers,3324246.0,41040.0,177033600.0,2012
Miami Marlins,2219444.0,27401.0,107678000.0,2012
Milwaukee Brewers,2831385.0,34955.0,95717000.0,2012
Minnesota Twins,2776354.0,34276.0,99066000.0,2012
New York Mets,2242803.0,27689.0,91621424.0,2012
New York Yankees,3542406.0,43733.0,197977900.0,2012
Oakland Athletics,1679013.0,20729.0,61202500.0,2012
Philadelphia Phillies,3565718.0,44021.0,171501558.0,2012
Pittsburgh Pirates,2091918.0,25826.0,70077000.0,2012
San Diego Padres,2123721.0,26219.0,55494700.0,2012
San Francisco Giants,3377371.0,41696.0,117637350.0,2012
Seattle Mariners,1721920.0,21258.0,78235600.0,2012
St. Louis Cardinals,3262109.0,40273.0,112071000.0,2012
Tampa Bay Rays,1559681.0,19255.0,63368700.0,2012
Texas Rangers,3460280.0,42720.0,124119900.0,2012
Toronto Blue Jays,2099663.0,25922.0,82352700.0,2012
Washington Nationals,2370794.0,29269.0,92386000.0,2012
Arizona Diamondbacks,2134895.0,26357.0,80060500.0,2013
Atlanta Braves,2548679.0,31465.0,95618750.0,2013
Baltimore Orioles,2357561.0,29106.0,100832000.0,2013
Boston Red Sox,2833333.0,34979.0,175395500.0,2013
Chicago Cubs,2642682.0,32626.0,67874166.0,2013
Chicago White Sox,1768413.0,21832.0,81401900.0,2013
Cincinnati Reds,2492101.0,31151.0,106255535.0,2013
Cleveland Indians,1572926.0,19419.0,87342433.0,2013
Colorado Rockies,2793828.0,34492.0,73768000.0,2013
Detroit Tigers,3083397.0,38067.0,154407000.0,2013
Houston Astros,1651883.0,20394.0,14672300.0,2013
Kansas City Royals,1750754.0,21614.0,87426250.0,2013
Los Angeles Angels of Anaheim,3019505.0,37278.0,116532500.0,2013
